"","raw.x","raw.y","pass"
"4","July 20th Brigade","July 20th Brigade","Duplicate"
"15","Freedom for Mumia Abu Jamal","Freedom for Mumia Abu Jamal","Duplicate"
"16","Accolta Nazinuale Corsa","Accolta Nazinuale Corsa","Duplicate"
"20","Autonomous Cells of Rebel Action","Autonomous Cells of Rebel Action","Duplicate"
"22","Revolutionary Liberation Action","Revolutionary Liberation Action","Duplicate"
"23","Popular Revolutionary Action","Popular Revolutionary Action","Duplicate"
"24","Fighting Ecologist Activism","Fighting Ecologist Activism","Duplicate"
"25","For a Revolutionary Perspective","For a Revolutionary Perspective","Duplicate"
"28","Movement Against State Arbitrariness","Movement Against State Arbitrariness","Duplicate"
"43","Ansar Allah","Ansar Allah","Duplicate"
"51","New Revolutionary Alternative","New Revolutionary Alternative","Duplicate"
"52","Amal","Amal","Duplicate"
"54","Anarchist Liberation Brigade","Anarchist Liberation Brigade","Duplicate"
"55","Anarchist Faction","Anarchist Faction","Duplicate"
"56","Overthrown Anarchist Faction","Overthrown Anarchist Faction","Duplicate"
"57","Informal Anarchist Federation","Informal Anarchist Federation","Duplicate"
"58","Anarchist Street Patrol","Anarchist Street Patrol","Duplicate"
"60","Anarchist Struggle","Anarchist Struggle","Duplicate"
"65","Angry Brigade","Angry Brigade","Duplicate"
"66","Revolutionary Cells Animal Liberation Brigade","Revolutionary Cells Animal Liberation Brigade","Duplicate"
"80","Armata Corsa","Armata Corsa","Duplicate"
"81","Armata di Liberazione Naziunale","Armata di Liberazione Naziunale","Duplicate"
"86","Armed Islamic Group","Armed Islamic Group","Duplicate"
"87","Armed Revolutionary Left","Armed Revolutionary Left","Duplicate"
"93","Army of the Corsican People","Army of the Corsican People","Duplicate"
"94","Dagestan Liberation Army","Dagestan Liberation Army","Duplicate"
"95","Justice Army of the Defenseless People","Justice Army of the Defenseless People","Duplicate"
"98","Army of the Followers of Sunni Islam","Army of the Followers of Sunni Islam","Duplicate"
"100","Army of God","Army of God","Duplicate"
"101","Islamic Army in Iraq","Islamic Army in Iraq","Duplicate"
"108","Mahdi Army","Mahdi Army","Duplicate"
"110","Revolutionary Army","Revolutionary Army","Duplicate"
"112","Chaotic Attack Front","Chaotic Attack Front","Duplicate"
"113","Autonomous Decorators","Autonomous Decorators","Duplicate"
"114","Night Avengers","Night Avengers","Duplicate"
