"","groupid","name","year","failure","allies","alliesties","size","religious","ethnic","drugs","statesponsored","wbgi_gee_cs","polity2","logpop","namerica","latamerica","ssafrica","meast","asia","spline1","spline2","spline3","alliesXgee","alliesXpolity2","alliesXfhouse17","alliesXrgdpch","alliesXcinc","fhouse17","europe","rgdpch","cinc","ccode","age","startdate","enddate"
"1",1,"9 May People's Liberation Force",1989,1,0,1.73999997059582e-05,0,0,0,0,0,-0.577458620071411,6,15.3533535003662,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,5.5,0,3.26430106163025,0.000491200014948845,91,1,1989,1989
"2",2,"Active Esprit de Corps of the Argentine Army",1987,1,0,0,0,0,0,0,0,-0.0439046286046505,8,17.2694473266602,0,1,0,0,0,1987,0,0,0,0,0,0,0,6.5,0,10.8923244476318,0.00547190010547638,160,1,1987,1987
"3",3,"Alejo Calatayu",1987,0,0,0,0,0,0,1,0,-0.385261118412018,9,15.6330003738403,0,1,0,0,0,1987,0,0,0,0,0,0,0,5.5,0,2.78486609458923,0.000784699979703873,145,1,1987,1989
"4",3,"Alejo Calatayu",1988,0,0,0,0,0,0,1,0,-0.385261118412018,9,15.6330003738403,0,1,0,0,0,1988,0.00308641977608204,0,0,0,0,0,0,5.5,0,2.78486609458923,0.000771399994846433,145,2,1987,1989
"5",3,"Alejo Calatayu",1989,1,0,0,0,0,0,1,0,-0.385261118412018,9,15.6330003738403,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,5.5,0,2.78486609458923,0.000796000007539988,145,3,1987,1989
"6",4,"Alfaro Vive",1987,0,7,0.287582337856293,1,0,0,0,0,-0.770719528198242,8,16.0715446472168,0,1,0,0,0,1987,0,0,-5.3950366973877,56,38.5,33.714427947998,0.00876680016517639,5.5,0,4.81634664535522,0.00125239999033511,130,5,1983,1991
"7",4,"Alfaro Vive",1988,0,7,0.287582337856293,1,0,0,0,0,-0.770719528198242,9,16.0972938537598,0,1,0,0,0,1988,0.00308641977608204,0,-5.3950366973877,63,42,35.5034713745117,0.00892429985105991,6,0,5.07192420959473,0.00127490004524589,130,6,1983,1991
"8",4,"Alfaro Vive",1989,0,7,0.287582337856293,1,0,0,0,0,-0.770719528198242,9,16.1229057312012,0,1,0,0,0,1989,0.0246913582086563,0,-5.3950366973877,63,42,34.6561508178711,0.00895859953016043,6,0,4.95087862014771,0.00127979996614158,130,7,1983,1991
"9",4,"Alfaro Vive",1990,0,6,0.287582337856293,1,0,0,0,0,-0.770719528198242,9,16.1494045257568,0,1,0,0,0,1990,0.0833333358168602,0,-4.62431716918945,54,36,29.2978630065918,0.00749340001493692,6,0,4.88297700881958,0.00124889996368438,130,8,1983,1991
"10",4,"Alfaro Vive",1991,1,5,0.287582337856293,1,0,0,0,0,-0.770719528198242,9,16.1601886749268,0,1,0,0,0,1991,0.19753086566925,0,-3.85359764099121,45,27.5,25.3750877380371,0.00651750015094876,5.5,0,5.07501745223999,0.00130350003018975,130,9,1983,1991
"11",5,"All for the Fatherland Movement",1989,1,0,0,0,0,0,0,1,-0.0439046286046505,7,17.2989521026611,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,6.5,0,9.83394622802734,0.00533619988709688,160,1,1989,1989
"12",6,"Andres Castro United Front (FUAC)",1995,0,0,0,1,0,0,0,0,-0.676195383071899,8,15.2936134338379,0,1,0,0,0,1995,1.580246925354,0.0246913582086563,0,0,0,0,0,4,0,1.85186374187469,0.000377499993192032,93,1,1995,1999
"13",6,"Andres Castro United Front (FUAC)",1996,0,0,0,1,0,0,0,0,-0.676195383071899,8,15.3197574615479,0,1,0,0,0,1996,2.25,0.0833333358168602,0,0,0,0,0,5,0,1.91423892974854,0.000366599997505546,93,2,1995,1999
"14",6,"Andres Castro United Front (FUAC)",1997,0,0,0,1,0,0,0,0,-0.676195383071899,8,15.3441457748413,0,1,0,0,0,1997,3.08641982078552,0.19753086566925,0,0,0,0,0,5,0,1.92014539241791,0.000368700013495982,93,3,1995,1999
"15",6,"Andres Castro United Front (FUAC)",1998,0,0,0,1,0,0,0,0,-0.676195383071899,8,15.3672647476196,0,1,0,0,0,1998,4.10802459716797,0.38580247759819,0,0,0,0,0,5.5,0,1.9369432926178,0.000382600002922118,93,4,1995,1999
"16",6,"Andres Castro United Front (FUAC)",1999,1,0,0,1,0,0,0,0,-0.676195383071899,8,15.38978099823,0,1,0,0,0,1999,5.33333349227905,0.666666686534882,0,0,0,0,0,5,0,2.04950165748596,0.000366199994459748,93,5,1995,1999
"17",7,"Anti-Communist Action Alliance",1989,1,0,0,0,0,0,0,0,-0.577458620071411,6,15.3533535003662,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,5.5,0,3.26430106163025,0.000491200014948845,91,1,1989,1989
"18",8,"Anti-Imperialist Patriotic Union",1989,1,0,0,2,0,0,0,0,-0.387831389904022,6,15.7530527114868,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,6,0,5.04696083068848,0.000695399998221546,42,1,1989,1989
"19",9,"April 19 Movement (M-19)",1987,0,11,0.459912806749344,2,0,0,0,1,-0.181962296366692,8,17.2508583068848,0,1,0,0,0,1987,0,0,-2.00158524513245,88,60.5,62.8385963439941,0.0442804992198944,5.5,0,5.7125997543335,0.00402549980208278,100,18,1970,1990
"20",9,"April 19 Movement (M-19)",1988,0,11,0.459912806749344,2,0,0,0,1,-0.181962296366692,8,17.2709903717041,0,1,0,0,0,1988,0.00308641977608204,0,-2.00158524513245,88,60.5,64.1632232666016,0.0433190986514091,5.5,0,5.83302021026611,0.00393809983506799,100,19,1970,1990
"21",9,"April 19 Movement (M-19)",1989,0,11,0.459912806749344,2,0,0,0,1,-0.181962296366692,8,17.290807723999,0,1,0,0,0,1989,0.0246913582086563,0,-2.00158524513245,88,49.5,64.9853057861328,0.0456367991864681,4.5,0,5.90775537490845,0.00414879992604256,100,20,1970,1990
"22",9,"April 19 Movement (M-19)",1990,1,10,0.459912806749344,2,0,0,0,1,-0.181962296366692,8,17.3106994628906,0,1,0,0,0,1990,0.0833333358168602,0,-1.81962299346924,80,45,60.2858276367188,0.0430620014667511,4.5,0,6.02858257293701,0.00430619996041059,100,21,1970,1990
"23",10,"Armed Forces of National Resistance",1987,0,2,0.0476435236632824,1,0,0,0,0,-0.317764610052109,6,15.3928785324097,0,1,0,0,0,1987,0,0,-0.635529220104218,12,9,8.0280647277832,0.00134219997562468,4.5,0,4.0140323638916,0.00067109998781234,92,13,1975,1991
"24",10,"Armed Forces of National Resistance",1988,0,2,0.0476435236632824,1,0,0,0,0,-0.317764610052109,6,15.4109296798706,0,1,0,0,0,1988,0.00308641977608204,0,-0.635529220104218,12,10,8.11457061767578,0.001315200002864,5,0,4.05728530883789,0.000657600001432002,92,14,1975,1991
"25",10,"Armed Forces of National Resistance",1989,0,2,0.0476435236632824,1,0,0,0,0,-0.317764610052109,6,15.4280481338501,0,1,0,0,0,1989,0.0246913582086563,0,-0.635529220104218,12,9,8.19972991943359,0.00132439995650202,4.5,0,4.0998649597168,0.00066219997825101,92,15,1975,1991
"26",10,"Armed Forces of National Resistance",1990,0,2,0.0476435236632824,1,0,0,0,0,-0.317764610052109,6,15.444727897644,0,1,0,0,0,1990,0.0833333358168602,0,-0.635529220104218,12,9,8.03999423980713,0.00142760004382581,4.5,0,4.01999711990356,0.000713800021912903,92,16,1975,1991
"27",10,"Armed Forces of National Resistance",1991,1,2,0.0476435236632824,1,0,0,0,0,-0.317764610052109,7,15.4613971710205,0,1,0,0,0,1991,0.19753086566925,0,-0.635529220104218,14,9,8.21285438537598,0.00161220005247742,4.5,0,4.10642719268799,0.00080610002623871,92,17,1975,1991
"28",11,"Armed Revolutionary Left",2004,1,0,0,0,0,0,0,0,-0.770719528198242,6,16.4084033966064,0,1,0,0,0,2004,14.4524688720703,3.63395071029663,0,0,0,0,0,5,0,5.5465202331543,0.00146059994585812,130,1,2004,2004
"29",12,"Arnoldo Camu Command",1989,1,0,0,0,0,0,0,0,1.19225132465363,8,16.372917175293,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,4.5,0,8.47351551055908,0.00253800000064075,155,1,1989,1989
"30",13,"Black Flag (Bandera Negra)",1987,1,0,0,0,0,0,1,0,-0.181962296366692,8,17.2508583068848,0,1,0,0,0,1987,0,0,0,0,0,0,0,5.5,0,5.7125997543335,0.00402549980208278,100,2,1986,1987
"31",14,"Black Hand (Colombia)",1988,0,0,0,0,0,0,1,0,-0.181962296366692,8,17.2709903717041,0,1,0,0,0,1988,0.00308641977608204,0,0,0,0,0,0,5.5,0,5.83302021026611,0.00393809983506799,100,1,1988,1991
"32",14,"Black Hand (Colombia)",1989,0,0,0,0,0,0,1,0,-0.181962296366692,8,17.290807723999,0,1,0,0,0,1989,0.0246913582086563,0,0,0,0,0,0,4.5,0,5.90775537490845,0.00414879992604256,100,2,1988,1991
"33",14,"Black Hand (Colombia)",1990,0,0,0,0,0,0,1,0,-0.181962296366692,8,17.3106994628906,0,1,0,0,0,1990,0.0833333358168602,0,0,0,0,0,0,4.5,0,6.02858257293701,0.00430619996041059,100,3,1988,1991
"34",14,"Black Hand (Colombia)",1991,1,0,0,0,0,0,1,0,-0.181962296366692,9,17.3307323455811,0,1,0,0,0,1991,0.19753086566925,0,0,0,0,0,0,5,0,6.03160858154297,0.00450969999656081,100,4,1988,1991
"35",15,"Bolivarian Liberation Forces (FBL)",1992,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.8234710693359,0,1,0,0,0,1992,0.38580247759819,0,-1.54193687438965,16,10,22.6054191589355,0.00867780018597841,5,0,11.3027095794678,0.00433890009298921,101,1,1992,9999
"36",15,"Bolivarian Liberation Forces (FBL)",1993,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.8452301025391,0,1,0,0,0,1993,0.666666686534882,0,-1.54193687438965,16,10,22.2089424133301,0.00919380038976669,5,0,11.104471206665,0.00459690019488335,101,2,1992,9999
"37",15,"Bolivarian Liberation Forces (FBL)",1994,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.8660163879395,0,1,0,0,0,1994,1.05864202976227,0.00308641977608204,-1.54193687438965,16,10,21.2546482086182,0.00937519967556,5,0,10.6273241043091,0.00468759983778,101,3,1992,9999
"38",15,"Bolivarian Liberation Forces (FBL)",1995,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.8858394622803,0,1,0,0,0,1995,1.580246925354,0.0246913582086563,-1.54193687438965,16,10,21.8881130218506,0.00934999994933605,5,0,10.9440565109253,0.00467499997466803,101,4,1992,9999
"39",15,"Bolivarian Liberation Forces (FBL)",1996,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.9047679901123,0,1,0,0,0,1996,2.25,0.0833333358168602,-1.54193687438965,16,11,21.494026184082,0.00937100034207106,5.5,0,10.747013092041,0.00468550017103553,101,5,1992,9999
"40",15,"Bolivarian Liberation Forces (FBL)",1997,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.9228649139404,0,1,0,0,0,1997,3.08641982078552,0.19753086566925,-1.54193687438965,16,11,22.6985206604004,0.009757399559021,5.5,0,11.3492603302002,0.0048786997795105,101,6,1992,9999
"41",15,"Bolivarian Liberation Forces (FBL)",1998,0,2,0,1,0,0,0,0,-0.770968437194824,8,16.9401359558105,0,1,0,0,0,1998,4.10802459716797,0.38580247759819,-1.54193687438965,16,11,22.5210552215576,0.00974540039896965,5.5,0,11.2605276107788,0.00487270019948483,101,7,1992,9999
"42",15,"Bolivarian Liberation Forces (FBL)",1999,0,2,0,1,0,0,0,0,-0.770968437194824,7,16.9565830230713,0,1,0,0,0,1999,5.33333349227905,0.666666686534882,-1.54193687438965,14,8,20.5553646087646,0.00942020025104284,4,0,10.2776823043823,0.00471010012552142,101,8,1992,9999
"43",15,"Bolivarian Liberation Forces (FBL)",2000,0,2,0,1,0,0,0,0,-0.770968437194824,7,16.9722023010254,0,1,0,0,0,2000,6.78086423873901,1.05864202976227,-1.54193687438965,14,8,21.1068382263184,0.00902580004185438,4,0,10.5534191131592,0.00451290002092719,101,9,1992,9999
