"","90scommunity","nodeid","groupid"
"1","6","395","395"
"2","6","434","434"
"3","6","397","397"
"4","6","429","429"
"5","6","464","464"
"6","6","384","384"
"7","6","372","372"
"8","6","356","356"
"9","8","153","153"
"10","11","556","556"
"11","1","77","77"
"12","1","86","86"
"13","11","546","546"
"14","1","61","61"
"15","8","152","152"
"16","2","511","511"
"17","2","189","189"
"18","2","629","629"
"19","2","637","637"
"20","2","621","621"
"21","2","388","388"
"22","4","572","572"
"23","4","545","545"
"24","4","575","575"
"25","6","449","449"
"26","6","373","373"
"27","4","504","504"
"28","6","364","364"
"29","6","436","436"
"30","6","414","414"
"31","6","352","352"
"32","6","377","377"
"33","4","584","584"
"34","4","570","570"
"35","2","135","135"
"36","2","622","622"
"37","2","353","353"
"38","2","465","465"
"39","2","468","468"
"40","2","358","358"
"41","2","360","360"
"42","2","368","368"
"43","2","514","514"
"44","4","571","571"
"45","2","513","513"
"46","4","573","573"
"47","2","636","636"
"48","4","576","576"
"49","12","614","614"
"50","13","338","338"
"51","2","439","439"
"52","2","448","448"
"53","2","509","509"
"54","2","450","450"
"55","2","466","466"
"56","2","406","406"
"57","2","374","374"
"58","2","489","489"
"59","6","506","506"
"60","2","438","438"
"61","4","566","566"
"62","15","630","630"
"63","5","562","562"
"64","6","470","470"
"65","28","121","121"
"66","2","371","371"
"67","2","400","400"
"68","3","316","316"
"69","7","173","173"
"70","7","221","221"
"71","8","144","144"
"72","12","615","615"
"73","12","613","613"
"74","5","549","549"
"75","27","104","104"
"76","1","172","172"
"77","26","411","411"
"78","11","533","533"
"79","11","610","610"
"80","7","219","219"
"81","7","220","220"
"82","7","222","222"
"83","3","453","453"
"84","28","116","116"
"85","25","223","223"
"86","7","216","216"
"87","1","168","168"
"88","1","183","183"
"89","7","190","190"
"90","6","408","408"
"91","6","380","380"
"92","6","435","435"
"93","4","568","568"
"94","4","651","651"
"95","6","357","357"
"96","4","510","510"
"97","4","503","503"
"98","4","581","581"
"99","4","574","574"
"100","4","558","558"
"101","4","534","534"
"102","3","385","385"
"103","8","149","149"
"104","8","140","140"
"105","2","461","461"
"106","3","416","416"
"107","24","424","424"
"108","4","579","579"
"109","2","628","628"
"110","9","80","80"
"111","26","382","382"
"112","23","523","523"
"113","14","597","597"
"114","14","594","594"
"115","14","599","599"
"116","3","402","402"
"117","3","648","648"
"118","3","649","649"
"119","4","577","577"
"120","4","567","567"
"121","8","147","147"
"122","8","150","150"
"123","22","349","349"
"124","11","611","611"
"125","21","499","499"
"126","5","561","561"
"127","5","551","551"
"128","1","36","36"
"129","1","40","40"
"130","1","58","58"
"131","1","75","75"
"132","1","15","15"
"133","5","532","532"
"134","15","623","623"
"135","15","627","627"
"136","8","145","145"
"137","19","486","486"
"138","6","469","469"
"139","12","612","612"
"140","12","633","633"
"141","21","497","497"
"142","6","421","421"
"143","6","440","440"
"144","10","315","315"
"145","18","227","227"
"146","18","226","226"
"147","8","142","142"
"148","25","191","191"
"149","1","41","41"
"150","1","45","45"
"151","1","29","29"
"152","9","35","35"
"153","23","522","522"
"154","10","305","305"
"155","10","319","319"
"156","3","256","256"
"157","3","283","283"
"158","3","300","300"
"159","20","234","234"
"160","20","233","233"
"161","13","333","333"
"162","13","335","335"
"163","13","341","341"
"164","5","527","527"
"165","16","520","520"
"166","14","600","600"
"167","2","638","638"
"168","14","596","596"
"169","3","415","415"
"170","3","456","456"
"171","4","580","580"
"172","17","606","606"
"173","5","526","526"
"174","5","531","531"
"175","1","109","109"
"176","15","631","631"
"177","29","590","590"
"178","1","95","95"
"179","2","538","538"
"180","27","18","18"
"181","24","403","403"
"182","2","505","505"
"183","11","539","539"
"184","9","43","43"
"185","22","420","420"
"186","3","295","295"
"187","2","507","507"
"188","5","548","548"
"189","19","487","487"
"190","9","87","87"
"191","16","517","517"
"192","17","604","604"
"193","29","585","585"
