"","groupid","name"
"1",1,"9 May People's Liberation Force"
"2",2,"Active Esprit de Corps of the Argentine Army"
"3",3,"Alejo Calatayu"
"6",4,"Alfaro Vive"
"11",5,"All for the Fatherland Movement"
"12",6,"Andres Castro United Front (FUAC)"
"17",7,"Anti-Communist Action Alliance"
"18",8,"Anti-Imperialist Patriotic Union"
"19",9,"April 19 Movement (M-19)"
"23",10,"Armed Forces of National Resistance"
"28",11,"Armed Revolutionary Left"
"29",12,"Arnoldo Camu Command"
"30",13,"Black Flag (Bandera Negra)"
"31",14,"Black Hand (Colombia)"
"35",15,"Bolivarian Liberation Forces (FBL)"
"49",16,"Brother Julian"
"50",17,"Brunswijk Jungle Commando"
"56",18,"Carapaica Revolutionary Movement"
"60",19,"Che Guevara Brigade"
"64",20,"Chilean Anti-Communist Alliance/Action (ACHA)"
"66",21,"Cinchoneros Popular Liberation Movement"
"71",22,"Comando Internacionalista Simon Bolivar"
"72",23,"Comando Jaramillista Morelense 23 de Mayo"
"74",24,"Comuneros"
"75",25,"Dario Santillan Command"
"76",26,"Death to Bazuqueros"
"78",27,"Death to Drug Traffickers"
"79",28,"Death to Kidnappers (MAS)"
"87",29,"EPA (Ejercito del Pueblo en Armas)"
"91",30,"EZLN"
"102",31,"Ecuadorian Rebel Force"
"103",32,"Ethnocacerista"
"108",33,"Farabundo Marti National Liberation Front"
"113",34,"February 28 Popular Leagues"
"118",35,"Group of Guerilla Combatants of Jose Maria Morelos y Pavon"
"123",36,"Group of Popular Combatants (GPC)"
"132",37,"Guatemalan Labor Party"
"142",38,"Guatemalan National Revolutionary Unity (URNG)"
"152",39,"Guerrilla Army of the Poor"
"162",40,"Guevarista Revolutionary Army (ERG)"
"175",41,"Jaime Bateman Cayon Group (JBC)"
"189",42,"Jorge Eliecer Gaitan Nationalist Movement"
"191",43,"Justice Army of the Defenseless People"
"194",44,"Latin American Anti-Fascist Command"
"195",45,"Latin American Patriotic Army (EPLA)"
"196",46,"Lautaro Youth Movement (MJL)"
"204",47,"Lorenzo Zelaya Revolutionary Front"
"206",48,"Mano Blanca"
"208",49,"Manuel Jose Arce Commando"
"209",50,"Manuel Rodriguez Patriotic Front (FPMR)"
"212",51,"Manuel Rodriguez Patriotic Front -- Dissidents (FPMR-D)"
"218",52,"Mariano Moreno National Liberation Commando"
"219",53,"Maximiliano Gomez Revolutionary Brigade"
"220",54,"Maximiliano Hernandez Martinez Brigade"
"226",55,"Montoneros Patria Libre"
"229",56,"Morazanist Front for the Liberation of Honduras (FMLH)"
"235",57,"Morazanist Patriotic Front (FPM)"
