"","group1","group2","alliancetie","g1groupid"
"1","Abu Nidal Organization","Hezbollah",1,351
"2","Abu Nidal Organization","Popular Front for the Liberation of Palestine GC  PFLP GC ",1,351
"3","Abu Nidal Organization","Armenian Secret Army for the Liberation of Armenia  ASALA ",1,351
"4","Abu Nidal Organization","al Fatah",1,351
"5","Abu Nidal Organization","Kurdistan Workers  Party  PKK ",1,351
"6","Abu Nidal Organization","al Fatah",1,351
"7","Abu Nidal Organization","Palestine Liberation Organization  PLO ",1,351
"8","Abu Nidal Organization","Japanese Red Army",1,351
"9","Abu Nidal Organization","Palestine Liberation Organization  PLO ",1,351
"10","Action Directe","Armenian Secret Army for the Liberation of Armenia  ASALA ",1,161
"11","Action Directe","Red Army Faction",1,161
"12","Action Directe","Irish National Liberation Army  INLA ",1,161
"13","Action Directe","First of October Antifascist Resistance Group  GRAPO ",1,161
"14","Action Directe","New Red Brigades   Communist Combatant Party",1,161
"15","African National Congress  South Africa ","White Wolves",1,NA
"16","African National Congress  South Africa ","Palestine Liberation Organization  PLO ",1,NA
"17","African National Congress  South Africa ","Afrikaner Resistance Movement",1,NA
"18","African National Congress  South Africa ","White Wolves",1,NA
"19","African National Congress  South Africa ","Afrikaner Resistance Movement",1,NA
"20","Afrikaner Resistance Movement","White Wolves",1,496
"21","Alex Boncayao Brigade  ABB ","New People s Army  NPA ",1,NA
"22","Alfaro Vive","Montoneros Patria Libre",1,4
"23","Alfaro Vive","Red Flag  Venezuela ",1,4
"24","Alfaro Vive","Movement of the Revolutionary Left  MIR   Chile ",1,4
"25","Alfaro Vive","April 19 Movement  M 19 ",1,4
"26","Alfaro Vive","National Liberation Army  Colombia ",1,4
"27","Alfaro Vive","Farabundo Marti National Liberation Front",1,4
"28","Alfaro Vive","Tupac Amaru Revolutionary Movement",1,4
"29","All Burma Students  Democratic Front  ABSDF ","Karenni National Progressive Party  KNPP ",1,NA
"30","All Burma Students  Democratic Front  ABSDF ","Kayin National Union  KNU ",1,NA
"31","Amal","al Sadr Brigades",1,356
"32","Amal","Hezbollah",1,356
"33","Amal","Hezbollah",1,356
"34","Amal","Lebanese Liberation Front",1,356
"35","Amal","Syrian Social Nationalist Party",1,356
"36","Amal","Hezbollah",1,356
"37","Amal","Palestine Liberation Organization  PLO ",1,356
"38","Amal","Palestine Liberation Organization  PLO ",1,356
"39","Amal","al Fatah",1,356
"40","Amal","Democratic Front for the Liberation of Palestine  DFLP ",1,356
"41","Amal","Palestine Liberation Organization  PLO ",1,356
"42","Amal","Lebanese Liberation Front",1,356
"43","Anti State Struggle","Revolutionary Solidarity",1,NA
"44","Anti Terrorist Liberation Group  GAL ","Basque Fatherland and Freedom  ETA ",1,NA
"45","Anti Terrorist Liberation Group  GAL ","Basque Fatherland and Freedom  ETA ",1,NA
"46","April 19 Movement  M 19 ","Death to Kidnappers  MAS ",1,NA
"47","April 19 Movement  M 19 ","Death to Kidnappers  MAS ",1,NA
"48","April 19 Movement  M 19 ","Farabundo Marti National Liberation Front",1,NA
"49","April 19 Movement  M 19 ","Movement of the Revolutionary Left  MIR   Chile ",1,NA
"50","April 19 Movement  M 19 ","National Liberation Army  Colombia ",1,NA
"51","April 19 Movement  M 19 ","Popular Liberation Army  EPL ",1,NA
"52","April 19 Movement  M 19 ","Quintin Lame",1,NA
"53","April 19 Movement  M 19 ","Red Flag  Venezuela ",1,NA
"54","April 19 Movement  M 19 ","Revolutionary Armed Forces of Colombia  FARC ",1,NA
"55","April 19 Movement  M 19 ","Shining Path",1,NA
"56","April 19 Movement  M 19 ","Simon Bolivar Guerilla Coordinating Board  CGSB ",1,NA
"57","April 19 Movement  M 19 ","Tupac Amaru Revolutionary Movement",1,NA
"58","Arab Democratic Party","Shaykh Subhi al Salih Forces",1,365
"59","Arab Democratic Party","Shaykh Subhi al Salih Forces",1,365
"60","Armed Forces of National Resistance","People s Liberation Forces  El Salvador ",1,10
"61","Armed Forces of National Resistance","Farabundo Marti National Liberation Front",1,10
"62","Armenian Secret Army for the Liberation of Armenia  ASALA ","Kurdistan Workers  Party  PKK ",1,NA
"63","Aryan Nations  AN ","Ku Klux Klan  KKK ",1,NA
