"","raw.y","raw.x","pass","groupid"
"1","313","313","Duplicate",568
"2","Abdurajak Janjalani Brigade (AJB)","Abdurajak Janjalani Brigade (AJB)","Duplicate",621
"3","Abu Bakr al-Siddiq Fundamentalist Brigades","Abu Bakr al-Siddiq Fundamentalist Brigades","Duplicate",350
"4","Abu Hafs al-Masri Brigade","Abu Hafs al-Masri Brigade","Duplicate",135
"5","Abu Nayaf al-Afgani","Abu Nayaf al-Afgani","Duplicate",189
"6","Abu Nidal Organization","Abu Nidal Organization","Duplicate",351
"7","Abu Sayyaf Group (ASG)","Abu Sayyaf Group (ASG)","Duplicate",622
"8","Abu al-Abbas ","Abu al-Abbas","Duplicate",349
"9","Abu al-Rish Brigades","Abu al-Rish Brigades","Duplicate",352
"10","Accolta Nazinuale Corsa","Accolta Nazinuale Corsa","Duplicate",159
"11","Accolta Nazinuale Corsa","Accolta Nazinuale Corsa","Duplicate",159
"12","Achik National Volunteer Council (ANVC)","Achik National Volunteer Council (ANVC)","Duplicate",525
"13","Action Group Extreme Beate","Action Group Extreme Beate","Duplicate",345
"14","Adivasi Cobra Force (ACF)","Adivasi Cobra Force (ACF)","Duplicate",526
"15","Akhil Krantikari","Akhil Krantikari","Duplicate",610
"16","Albanian National Army","Albanian National Army  ANA ","Partial",239
"17","Alex Boncayao Brigade (ABB)","Alex Boncayao Brigade (ABB)","Duplicate",623
"18","Alex Boncayao Brigade (ABB)","Alex Boncayao Brigade  ABB ","Partial",623
"19","Ali Bin Abu Talib Jihad Organization","Ali Bin Abu Talib Jihad Organization","Duplicate",355
"20","All Burma Students' Democratic Front (ABSDF)","All Burma Students' Democratic Front (ABSDF)","Duplicate",594
"21","Amal","Amal","Duplicate",356
"22","Amal","Amal","Duplicate",356
"23","Anarchist Attack Teams","Anarchist Attack Teams","Duplicate",243
"24","Anarchist Faction","Anarchist Faction","Duplicate",244
"25","Anarchist Faction","Anarchist Faction","Duplicate",244
"26","Anarchist Faction for Subversion","Anarchist Faction for Subversion","Duplicate",245
"27","Anarchist Liberation Brigade","Anarchist Liberation Brigade","Duplicate",246
"28","Anarchist Liberation Brigade","Anarchist Liberation Brigade","Duplicate",246
"29","Anarchist Street Patrol","Anarchist Street Patrol","Duplicate",248
"30","Anarchist Street Patrol","Anarchist Street Patrol","Duplicate",248
"31","Anarchist Struggle","Anarchist Struggle","Duplicate",249
"32","Anarchist Struggle","Anarchist Struggle","Duplicate",249
"33","Anarchists' Attack Group","Anarchists  Attack Group","Partial",250
"34","Anarchists' Attack Group","Anarchists' Attack Group","Duplicate",250
