"","raw.x","raw.y","pass"
"20","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"21","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"22","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"23","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"24","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"25","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"26","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"27","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"28","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"29","Action Directe","Action Directe","Duplicate"
"30","Action Directe","Action Directe","Duplicate"
"31","Action Directe","Action Directe","Duplicate"
"32","Action Directe","Action Directe","Duplicate"
"33","Action Directe","Action Directe","Duplicate"
"41","Afrikaner Resistance Movement","Afrikaner Resistance Movement","Duplicate"
"45","Alfaro Vive","Alfaro Vive","Duplicate"
"46","Alfaro Vive","Alfaro Vive","Duplicate"
"47","Alfaro Vive","Alfaro Vive","Duplicate"
"48","Alfaro Vive","Alfaro Vive","Duplicate"
"49","Alfaro Vive","Alfaro Vive","Duplicate"
"50","Alfaro Vive","Alfaro Vive","Duplicate"
"51","Alfaro Vive","Alfaro Vive","Duplicate"
"52","Amal","Amal","Duplicate"
"53","Amal","Amal","Duplicate"
"54","Amal","Amal","Duplicate"
"55","Amal","Amal","Duplicate"
"56","Amal","Amal","Duplicate"
"57","Amal","Amal","Duplicate"
"58","Amal","Amal","Duplicate"
"59","Amal","Amal","Duplicate"
"60","Amal","Amal","Duplicate"
"61","Amal","Amal","Duplicate"
"62","Amal","Amal","Duplicate"
"63","Amal","Amal","Duplicate"
"68","Jammu and Kashmir Liberation Front","Jammu and Kashmir Liberation Front","Duplicate"
"69","Jammu and Kashmir Liberation Front","Jammu and Kashmir Liberation Front","Duplicate"
"70","Jammu and Kashmir Liberation Front","Jammu and Kashmir Liberation Front","Duplicate"
"76","Arab Democratic Party","Arab Democratic Party","Duplicate"
"77","Arab Democratic Party","Arab Democratic Party","Duplicate"
"81","Armed Forces of National Resistance","Armed Forces of National Resistance","Duplicate"
"82","Armed Forces of National Resistance","Armed Forces of National Resistance","Duplicate"
"83","Rebel Armed Forces","Rebel Armed Forces","Duplicate"
"85","Red Army for the Liberation of Catalonia","Red Army for the Liberation of Catalonia","Duplicate"
"95","Red Army Faction","Red Army Faction","Duplicate"
"96","Guerrilla Army of the Poor","Guerrilla Army of the Poor","Duplicate"
"97","Guerrilla Army of the Poor","Guerrilla Army of the Poor","Duplicate"
"98","Kachin Independence Army","Kachin Independence Army","Duplicate"
"114","Japanese Red Army","Japanese Red Army","Duplicate"
"123","Bersatu","Bersatu","Duplicate"
"124","Bersatu","Bersatu","Duplicate"
"129","Burma Communist Party","Burma Communist Party","Duplicate"
"139","Chukakuha","Chukakuha","Duplicate"
"140","Chukakuha","Chukakuha","Duplicate"
"141","Cinchoneros Popular Liberation Movement","Cinchoneros Popular Liberation Movement","Duplicate"
"142","Cinchoneros Popular Liberation Movement","Cinchoneros Popular Liberation Movement","Duplicate"
"143","Cinchoneros Popular Liberation Movement","Cinchoneros Popular Liberation Movement","Duplicate"
"144","Rodrigo Franco Command","Rodrigo Franco Command","Duplicate"
"145","Rodrigo Franco Command","Rodrigo Franco Command","Duplicate"
"146","Kangleipak Communist Party","Kangleipak Communist Party","Duplicate"
"147","Kangleipak Communist Party","Kangleipak Communist Party","Duplicate"
"155","National Socialist Council of Nagaland","National Socialist Council of Nagaland","Duplicate"
"156","National Socialist Council of Nagaland","National Socialist Council of Nagaland","Duplicate"
"165","Kurdish Democratic Party","Kurdish Democratic Party","Duplicate"
"166","Kurdish Democratic Party","Kurdish Democratic Party","Duplicate"
"167","Kurdish Democratic Party","Kurdish Democratic Party","Duplicate"
"168","Kurdish Democratic Party","Kurdish Democratic Party","Duplicate"
"169","Kurdish Democratic Party","Kurdish Democratic Party","Duplicate"
"181","Peoples Liberation Organization of Tamil Eelam","Peoples Liberation Organization of Tamil Eelam","Duplicate"
"191","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"192","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"193","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"194","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"195","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"196","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"197","Fatah Uprising","Fatah Uprising","Duplicate"
"198","Fatah Uprising","Fatah Uprising","Duplicate"
"199","Fatah Uprising","Fatah Uprising","Duplicate"
"200","Fatah Uprising","Fatah Uprising","Duplicate"
"201","Fatah Uprising","Fatah Uprising","Duplicate"
"202","Fatah Uprising","Fatah Uprising","Duplicate"
"203","Fatah Uprising","Fatah Uprising","Duplicate"
"204","Fatah Uprising","Fatah Uprising","Duplicate"
"205","Fatah Uprising","Fatah Uprising","Duplicate"
"216","Freedom Party","Freedom Party","Duplicate"
"221","Islamic Salvation Front","Islamic Salvation Front","Duplicate"
"225","Palestine Liberation Front","Palestine Liberation Front","Duplicate"
"226","Lorenzo Zelaya Revolutionary Front","Lorenzo Zelaya Revolutionary Front","Duplicate"
"227","National Revolutionary Front","National Revolutionary Front","Duplicate"
"230","Guatemalan Labor Party","Guatemalan Labor Party","Duplicate"
"231","Guatemalan Labor Party","Guatemalan Labor Party","Duplicate"
"232","Guatemalan Labor Party","Guatemalan Labor Party","Duplicate"
"233","Guatemalan Labor Party","Guatemalan Labor Party","Duplicate"
"238","Hamas","Hamas","Duplicate"
"239","Hamas","Hamas","Duplicate"
"240","Hamas","Hamas","Duplicate"
"241","Hamas","Hamas","Duplicate"
"242","Hamas","Hamas","Duplicate"
"243","Hamas","Hamas","Duplicate"
"244","Hamas","Hamas","Duplicate"
"245","Hamas","Hamas","Duplicate"
"246","Hamas","Hamas","Duplicate"
"247","Hammerskin Nation","Hammerskin Nation","Duplicate"
"254","Hezbollah","Hezbollah","Duplicate"
"255","Hezbollah","Hezbollah","Duplicate"
"256","Hezbollah","Hezbollah","Duplicate"
"257","Hezbollah","Hezbollah","Duplicate"
"258","Hezbollah","Hezbollah","Duplicate"
"259","Hezbollah","Hezbollah","Duplicate"
"260","Hezbollah","Hezbollah","Duplicate"
"261","Hezbollah","Hezbollah","Duplicate"
"262","Hezbollah","Hezbollah","Duplicate"
"263","Hezbollah","Hezbollah","Duplicate"
"264","Hezbollah","Hezbollah","Duplicate"
"265","Hezbollah","Hezbollah","Duplicate"
"287","Kach","Kach","Duplicate"
"288","Kach","Kach","Duplicate"
"296","Quintin Lame","Quintin Lame","Duplicate"
"297","Quintin Lame","Quintin Lame","Duplicate"
"303","Shining Path","Shining Path","Duplicate"
"304","Shining Path","Shining Path","Duplicate"
"305","Shining Path","Shining Path","Duplicate"
"306","Red Zora","Red Zora","Duplicate"
"1231","Revolutionary Organization 17 November  17N ","Revolutionary Organization 17 November (17N)","Partial"
"1241","Revolutionary Organization 17 November  17N ","Revolutionary Organization 17 November (17N)","Partial"
"125","Alex Boncayao Brigade  ABB ","Alex Boncayao Brigade (ABB)","Partial"
"126","All Burma Students  Democratic Front  ABSDF ","All Burma Students' Democratic Front (ABSDF)","Partial"
"127","All Burma Students  Democratic Front  ABSDF ","All Burma Students' Democratic Front (ABSDF)","Partial"
"128","Aryan Nations  AN ","Aryan Nations (AN)","Partial"
"1291","Aryan Nations  AN ","Aryan Nations (AN)","Partial"
"130","People s Revolutionary Army  Argentina ","People's Revolutionary Army (Argentina)","Partial"
"131","Armenian Secret Army for the Liberation of Armenia  ASALA ","Armenian Secret Army for the Liberation of Armenia (ASALA)","Partial"
"132","Babbar Khalsa International  BKI ","Babbar Khalsa International (BKI)","Partial"
"133","Babbar Khalsa International  BKI ","Babbar Khalsa International (BKI)","Partial"
"134","Bhinderanwale Tiger Force of Khalistan  BTHK ","Bhinderanwale Tiger Force of Khalistan (BTHK)","Partial"
"135","Democratic Front for the Liberation of Palestine  DFLP ","Democratic Front for the Liberation of Palestine (DFLP)","Partial"
"136","Democratic Front for the Liberation of Palestine  DFLP ","Democratic Front for the Liberation of Palestine (DFLP)","Partial"
"137","Democratic Front for the Liberation of Palestine  DFLP ","Democratic Front for the Liberation of Palestine (DFLP)","Partial"
"138","Democratic Front for the Liberation of Palestine  DFLP ","Democratic Front for the Liberation of Palestine (DFLP)","Partial"
"1391","Democratic Front for the Liberation of Palestine  DFLP ","Democratic Front for the Liberation of Palestine (DFLP)","Partial"
"1401","Egyptian Islamic Jihad  EIJ  aka al Jihad","Egyptian Islamic Jihad (EIJ) aka al Jihad","Partial"
"1411","Eritrean Islamic Jihad Movement  EIJM ","Eritrean Islamic Jihad Movement (EIJM)","Partial"
"1421","People s Liberation Forces  El Salvador ","People's Liberation Forces (El Salvador)","Partial"
"1431","Popular Liberation Army  EPL ","Popular Liberation Army (EPL)","Partial"
"1441","Popular Liberation Army  EPL ","Popular Liberation Army (EPL)","Partial"
"1451","Popular Liberation Army  EPL ","Popular Liberation Army (EPL)","Partial"
"1461","Eritrean People s Liberation Front  EPLF ","Eritrean People's Liberation Front (EPLF)","Partial"
"1471","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"148","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"149","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"150","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"151","National Front for the Liberation of Angola  FNLA ","National Front for the Liberation of Angola (FNLA)","Partial"
"152","First of October Antifascist Resistance Group  GRAPO ","First of October Antifascist Resistance Group (GRAPO)","Partial"
"153","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"154","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"1551","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"1561","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"157","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"158","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"159","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"160","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"161","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"162","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"163","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"164","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"1651","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"1661","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"1671","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"1681","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"1691","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"170","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"171","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"172","Irish Republican Army  IRA ","Irish Republican Army (IRA)","Partial"
"173","Irish Republican Army  IRA ","Irish Republican Army (IRA)","Partial"
"174","Irish Republican Army  IRA ","Irish Republican Army (IRA)","Partial"
"175","Irish Republican Army  IRA ","Irish Republican Army (IRA)","Partial"
"176","Irish Republican Army  IRA ","Irish Republican Army (IRA)","Partial"
"177","Jaime Bateman Cayon Group  JBC ","Jaime Bateman Cayon Group (JBC)","Partial"
"178","Jaime Bateman Cayon Group  JBC ","Jaime Bateman Cayon Group (JBC)","Partial"
"179","Jewish Defense League  JDL ","Jewish Defense League (JDL)","Partial"
"180","Ku Klux Klan  KKK ","Ku Klux Klan (KKK)","Partial"
"1811","Kabataang Makayan  KM ","Kabataang Makayan (KM)","Partial"
"182","Karenni National Progressive Party  KNPP ","Karenni National Progressive Party (KNPP)","Partial"
"183","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"184","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"185","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"186","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"187","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"188","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"189","Liberation Tigers of Tamil Eelam  LTTE ","Liberation Tigers of Tamil Eelam (LTTE)","Partial"
"190","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1911","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1921","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1931","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1941","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1951","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1961","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1971","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1981","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"1991","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"2001","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"2011","April 19 Movement  M 19 ","April 19 Movement (M-19)","Partial"
"2021","Maoist Communist Center  MCC ","Maoist Communist Center (MCC)","Partial"
"2031","Moro National Liberation Front  MNLF ","Moro National Liberation Front (MNLF)","Partial"
"2041","National Democratic Front of Bodoland  NDFB ","National Democratic Front of Bodoland (NDFB)","Partial"
"2051","National Democratic Front of Bodoland  NDFB ","National Democratic Front of Bodoland (NDFB)","Partial"
"206","National Liberation Front of Tripura  NLFT ","National Liberation Front of Tripura (NLFT)","Partial"
"207","Ogaden National Liberation Front  ONLF ","Ogaden National Liberation Front (ONLF)","Partial"
"208","Palestinian Islamic Jihad  PIJ ","Palestinian Islamic Jihad (PIJ)","Partial"
"209","Palestinian Islamic Jihad  PIJ ","Palestinian Islamic Jihad (PIJ)","Partial"
"210","Palestinian Islamic Jihad  PIJ ","Palestinian Islamic Jihad (PIJ)","Partial"
"211","Kurdistan Workers  Party  PKK ","Kurdistan Workers' Party (PKK)","Partial"
"212","Kurdistan Workers  Party  PKK ","Kurdistan Workers' Party (PKK)","Partial"
"213","Kurdistan Workers  Party  PKK ","Kurdistan Workers' Party (PKK)","Partial"
"214","Kurdistan Workers  Party  PKK ","Kurdistan Workers' Party (PKK)","Partial"
"215","Palestine Liberation Organization  PLO ","Palestine Liberation Organization (PLO)","Partial"
"2161","Palestine Liberation Organization  PLO ","Palestine Liberation Organization (PLO)","Partial"
"217","Palestine Liberation Organization  PLO ","Palestine Liberation Organization (PLO)","Partial"
"218","Palestine Liberation Organization  PLO ","Palestine Liberation Organization (PLO)","Partial"
"219","Palestine Popular Struggle Front  PSF ","Palestine Popular Struggle Front (PSF)","Partial"
"220","Palestine Popular Struggle Front  PSF ","Palestine Popular Struggle Front (PSF)","Partial"
"2211","Ulster Defense Association   Ulster Freedom Fighters  UDA ","Ulster Defense Association / Ulster Freedom Fighters (UDA)","Partial"
"222","United Liberation Front of Assam  ULFA ","United Liberation Front of Assam (ULFA)","Partial"
"223","Guatemalan National Revolutionary Unity  URNG ","Guatemalan National Revolutionary Unity (URNG)","Partial"
"224","Guatemalan National Revolutionary Unity  URNG ","Guatemalan National Revolutionary Unity (URNG)","Partial"
"2251","Guatemalan National Revolutionary Unity  URNG ","Guatemalan National Revolutionary Unity (URNG)","Partial"
"2261","New Red Brigades   Communist Combatant Party","New Red Brigades / Communist Combatant Party","Partial"
"2271","Asbat al Ansar","Asbat al-Ansar","Partial"
"228","Asbat al Ansar","Asbat al-Ansar","Partial"
"229","Anti State Struggle","Anti-State Struggle","Partial"
"2301","Ethiopian People s Revolutionary Army","Ethiopian People's Revolutionary Army","Partial"
"2311","Ethiopian People s Revolutionary Army","Ethiopian People's Revolutionary Army","Partial"
"2321","Kampuchean People s National Liberation Army","Kampuchean People's National Liberation Army","Partial"
"2331","Eelam People s Revolutionary Liberation Front","Eelam People's Revolutionary Liberation Front","Partial"
"234","Eelam People s Revolutionary Liberation Front","Eelam People's Revolutionary Liberation Front","Partial"
"235","Eelam People s Revolutionary Liberation Front","Eelam People's Revolutionary Liberation Front","Partial"
"236","Eelam People s Revolutionary Liberation Front","Eelam People's Revolutionary Liberation Front","Partial"
"4","Abu Nidal Organization","Abu Nidal Organization","Duplicate"
"5","United Popular Action Movement","United Popular Action Movement","Duplicate"
"6","United Popular Action Movement","United Popular Action Movement","Duplicate"
"7","Afrikaner Resistance Movement","Afrikaner Resistance Movement","Duplicate"
"8","Afrikaner Resistance Movement","Afrikaner Resistance Movement","Duplicate"
"451","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"461","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"471","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"481","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"491","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"501","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"511","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"521","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate"
"591","Jammu and Kashmir Liberation Front","Jammu and Kashmir Liberation Front","Duplicate"
"601","Jammu and Kashmir Liberation Front","Jammu and Kashmir Liberation Front","Duplicate"
"611","Jammu and Kashmir Liberation Front","Jammu and Kashmir Liberation Front","Duplicate"
"64","Manuel Jose Arce Commando","Manuel Jose Arce Commando","Duplicate"
"74","Rebel Armed Forces","Rebel Armed Forces","Duplicate"
"75","Rebel Armed Forces","Rebel Armed Forces","Duplicate"
"761","Rebel Armed Forces","Rebel Armed Forces","Duplicate"
"88","Red Army Faction","Red Army Faction","Duplicate"
"89","Red Army Faction","Red Army Faction","Duplicate"
"90","Red Army Faction","Red Army Faction","Duplicate"
"91","Guerrilla Army of the Poor","Guerrilla Army of the Poor","Duplicate"
"92","Guerrilla Army of the Poor","Guerrilla Army of the Poor","Duplicate"
"93","Kachin Independence Army","Kachin Independence Army","Duplicate"
"104","Japanese Red Army","Japanese Red Army","Duplicate"
"1272","Maximiliano Hernandez Martinez Brigade","Maximiliano Hernandez Martinez Brigade","Duplicate"
"1282","Maximiliano Hernandez Martinez Brigade","Maximiliano Hernandez Martinez Brigade","Duplicate"
"1322","Revolutionary Cells","Revolutionary Cells","Duplicate"
"1372","Palestinian Revolution Forces General Command","Palestinian Revolution Forces General Command","Duplicate"
"1382","Khalistan Commando Force","Khalistan Commando Force","Duplicate"
"1392","Khalistan Commando Force","Khalistan Commando Force","Duplicate"
"1402","Khalistan Commando Force","Khalistan Commando Force","Duplicate"
"1532","Peoples Liberation Organization of Tamil Eelam","Peoples Liberation Organization of Tamil Eelam","Duplicate"
"1542","Peoples Liberation Organization of Tamil Eelam","Peoples Liberation Organization of Tamil Eelam","Duplicate"
"1552","Peoples Liberation Organization of Tamil Eelam","Peoples Liberation Organization of Tamil Eelam","Duplicate"
"1722","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"1732","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"1742","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"1752","Farabundo Marti National Liberation Front","Farabundo Marti National Liberation Front","Duplicate"
"1992","Lebanese Liberation Front","Lebanese Liberation Front","Duplicate"
"2002","Lebanese Liberation Front","Lebanese Liberation Front","Duplicate"
"2042","United National Liberation Front","United National Liberation Front","Duplicate"
"2052","United National Liberation Front","United National Liberation Front","Duplicate"
"2062","United National Liberation Front","United National Liberation Front","Duplicate"
